year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2005,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,3616.274471
2005,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,10753.26176
2005,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,7301.470941
2005,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,1678.92
2005,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,16995.93988
2005,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,2619.851647
2005,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,38774.02871
2006,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,10082.78682
2006,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,35.73
2006,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,1.015058824
2006,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,1800.094941
2006,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2006,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2006,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,1645.834588
2006,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,45349.54024
2006,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,135.6917647
2006,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,103.95
2006,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,556.1915294
2006,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,60314.65624
2006,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,13229.98835
2006,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,78362.80341
2006,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,28482.80259
2006,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,17315.42188
2006,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,4081.638706
2006,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,1659.292941
2006,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,648.2647059
2006,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,4777.238824
2006,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,7216.86
2006,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,328.23
2006,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,410.0382353
2006,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,16211.81012
2006,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,10525.16965
2006,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,133681.1118
2006,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,2465.381647
2006,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,4588.059529
2006,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,16405.44635
2006,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,16931.136
2006,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,2005.073647
2006,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,22793.77976
2006,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,5951.024471
2006,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,26128.77494
2007,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,7921.686706
2007,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,16.56
2007,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,11.32623529
2007,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,2078.859176
2007,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2007,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2007,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,1314.348
2007,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,58324.13788
2007,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,207.6282353
2007,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,114.84
2007,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,485.5948235
2007,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,58476.44929
2007,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,9740.562353
2007,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,185728.1054
2007,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,20190.37482
2007,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,16317.99141
2007,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,3391.344
2007,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,899.1984706
2007,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,422.3781176
2007,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,1464.110118
2007,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2284.747765
2007,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,337.8578824
2007,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,270.1771765
