year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
2004,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,1645615.05
2004,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,692955.8587
2004,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,2646542.546
2004,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,868109.4318
2004,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,2064920.727
2005,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3600450.391
2005,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63709.94082
2005,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65905.33376
2005,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,257910.6427
2005,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8
2005,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706
2005,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,342520.6765
2005,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,2057222.058
2005,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,293586.9166
2005,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,88078.00941
2005,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,265047.87
2005,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,9661424.926
2005,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1028247.255
2005,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,8025723.211
2005,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6578179.683
2005,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3953653.164
2005,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,262922.544
2005,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,225712.116
2005,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,263850.1673
2005,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,3081033.103
2005,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2252767.152
2005,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,451815.8601
2005,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,171673.1104
2005,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,25251558.66
2005,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,9697874.608
2005,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,2982274.111
2005,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,358879.8424
2005,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1181602.843
2005,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5458926.528
2005,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,1638313.579
2005,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,691276.9387
2005,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,2629546.606
2005,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,865489.5801
2005,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,2026146.698
2006,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3590367.604
2006,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63674.21082
2006,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65904.31871
2006,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,256110.5478
2006,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8
2006,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706
2006,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,340874.8419
2006,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,2011872.517
2006,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,293451.2248
2006,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,87974.05941
2006,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,264491.6785
2006,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,9601110.27
2006,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1015017.267
2006,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,7947360.407
2006,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6549696.881
2006,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3936337.742
