year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,gross_greenhouse_gas_emissions_from_deforestation_tonnes_co₂-
2007,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,7874396.678
2007,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,1373841.757
2007,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,336760.2233
2007,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,178286.7099
2007,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,706067.1946
2007,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,1128346.567
2007,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,141566.3376
2007,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,104839.1836
2007,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,7983982.386
2007,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,3654306.491
2007,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,45365966.73
2007,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,422721.3931
2007,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1051126.495
2007,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5180059.756
2007,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,1959899.383
2007,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,866480.8722
2007,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,8781099.607
2007,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,995184.2214
2007,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,6456066.805
2008,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,8396574.659
2008,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,569.8538882
2008,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,1080.1626
2008,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,1141927.558
2008,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2008,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2008,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,173910.1503
2008,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,19962385.78
2008,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,109265.7582
2008,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,14363.27823
2008,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,110947.5986
2008,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,33747064.01
2008,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1949225.537
2008,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,38834738.21
2008,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,7485220.659
2008,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,11791897.86
